name,year,type,link,second_name,sex,id,department,link2,hirsh
Алимов Александр Федорович,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1654.ln-ru,Федорович,m,58,Отделение сельскохозяйственных наук РАН,http://www.expertcorps.ru/science/whoiswho/info/47863,14
Алимов Александр Федорович,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1654.ln-ru,Федорович,m,58,Отделение биологических наук РАН,http://www.expertcorps.ru/science/whoiswho/info/47863,14
Алиханов Абрам Исаакович,1943,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49350.ln-ru,Исаакович,m,59,NA,NA,NA
Алтухов Анатолий Иванович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62815.ln-ru,Иванович,m,60,NA,NA,NA
Алтухов Юрий Петрович,1997,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1650.ln-ru,Петрович,m,61,NA,NA,NA
Алферов Жорес Иванович,1979,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-19.ln-ru,Иванович,m,62,NA,NA,NA
Алфимов Михаил Владимирович,1997,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1150.ln-ru,Владимирович,m,63,Отделение химии и наук о материалах РАН,http://www.expertcorps.ru/science/whoiswho/info/40263,35
Альт Виктор Валентинович,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-63019.ln-ru,Валентинович,m,64,NA,NA,NA
Амбарцумян Виктор Амазаспович,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49360.ln-ru,Амазаспович,m,65,NA,NA,NA
Амерханов Харон Адиевич,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62816.ln-ru,Адиевич,m,66,NA,NA,NA
Амиров Наиль Хабибуллович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62617.ln-ru,Хабибуллович,m,67,Отделение медицинских наук РАН,NA,NA
Амман Иоганн,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49365.ln-ru,NA,m,68,NA,NA,NA
Ананьич Борис Васильевич,1994,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2188.ln-ru,Васильевич,m,69,NA,NA,NA
Андреев Александр Федорович,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-7.ln-ru,Федорович,m,70,NA,NA,NA
Андреев Александр Федорович,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-60349.ln-ru,Федорович,m,71,NA,NA,NA
Андреев Лев Николаевич,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1539.ln-ru,Николаевич,m,72,NA,NA,NA
Андреев Николай Николаевич,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49542.ln-ru,Николаевич,m,73,NA,NA,NA
Андрианов Кузьма Андрианович,1964,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49543.ln-ru,Андрианович,m,74,NA,NA,NA
Андронов Александр Александрович,1946,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-53169.ln-ru,Александрович,m,75,Отделение физических наук РАН,http://www.expertcorps.ru/science/whoiswho/info/40255,16
Андрусов Николай Иванович,1914,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49544.ln-ru,Иванович,m,76,NA,NA,NA
Аникин Александр Евгеньевич,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-53884.ln-ru,Евгеньевич,m,77,Отделение историко-филологических наук РАН,NA,NA
Аничков Николай Николаевич,1939,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49546.ln-ru,Николаевич,m,78,NA,NA,NA
Аннин Борис Дмитриевич,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49187.ln-ru,Дмитриевич,m,79,"Отделение энергетики, машиностроения, механики и процессов управления РАН",NA,NA
Аносов Дмитрий Викторович,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-187.ln-ru,Викторович,m,80,NA,NA,NA
Анохин Петр Кузьмич,1966,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49547.ln-ru,Кузьмич,m,81,NA,NA,NA
Анохина Ирина Петровна,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62618.ln-ru,Петровна,f,82,Отделение медицинских наук РАН,NA,NA
Антонов Олег Константинович,1981,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49551.ln-ru,Константинович,m,83,NA,NA,NA
Анучин Дмитрий Николаевич,1896,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49554.ln-ru,Николаевич,m,84,NA,NA,NA
Анфимов Николай Аполлонович,1997,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-771.ln-ru,Аполлонович,m,85,"Отделение энергетики, машиностроения, механики и процессов управления РАН",NA,NA
Анфиногентова Анна Антоновна,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2400.ln-ru,Антоновна,f,86,Отделение общественных наук РАН,NA,NA
Анциферов Владимир Никитович,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1372.ln-ru,Никитович,m,87,NA,NA,NA
Анчишкин Александр Иванович,1984,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49555.ln-ru,Иванович,m,88,NA,NA,NA
Апресян Юрий Дереникович,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2575.ln-ru,Дереникович,m,89,NA,http://www.expertcorps.ru/science/whoiswho/info/50227,11
Арбатов Алексей Георгиевич,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-53873.ln-ru,Георгиевич,m,90,NA,NA,NA
Арбатов Георгий Аркадьевич,1974,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2490.ln-ru,Аркадьевич,m,91,NA,NA,NA
Арбузов Александр Ерминингельдович,1942,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49560.ln-ru,Ерминингельдович,m,92,NA,NA,NA
Арбузов Борис Александрович,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49561.ln-ru,Александрович,m,93,NA,NA,NA
Арзуманян Анушаван Агафонович,1962,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49565.ln-ru,Агафонович,m,94,NA,NA,NA
Арнольд Владимир Игоревич,1990,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-204.ln-ru,Игоревич,m,95,NA,NA,NA
Арсеньев Константин Иванович,1841,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49572.ln-ru,Иванович,m,96,NA,NA,NA
Арский Юрий Михайлович,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-89.ln-ru,Михайлович,m,97,Отделение наук о Земле РАН,NA,NA
Артамонова Воля Георгиевна,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62619.ln-ru,Георгиевна,f,98,NA,NA,NA
Артоболевский Иван Иванович,1946,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49574.ln-ru,Иванович,m,99,NA,NA,NA
Артюшков Евгений Викторович,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1939.ln-ru,Викторович,m,100,Отделение наук о Земле РАН,http://www.expertcorps.ru/science/whoiswho/info/42152,19
Архангельский Андрей Дмитриевич,1929,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49577.ln-ru,Дмитриевич,m,101,NA,NA,NA
Арцимович Лев Андреевич,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49579.ln-ru,Андреевич,m,102,NA,NA,NA
Арчаков Александр Иванович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-60908.ln-ru,Иванович,m,103,NA,http://www.expertcorps.ru/science/whoiswho/info/40675,43
Асафьев Борис Владимирович (псевдоним Игорь Глебов),1943,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49582.ln-ru,Владимирович,m,104,NA,NA,NA
Асеев Александр Леонидович,2006,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-3004.ln-ru,Леонидович,m,105,NA,http://www.expertcorps.ru/science/whoiswho/info/42174,21
Астауров Борис Львович,1966,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49586.ln-ru,Львович,m,106,NA,NA,NA
Асхабов Асхаб Магомедович,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1940.ln-ru,Магомедович,m,107,Отделение наук о Земле РАН,NA,NA
Атабеков Иосиф Григорьевич,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1485.ln-ru,Григорьевич,m,108,Отделение сельскохозяйственных наук РАН,http://www.expertcorps.ru/science/whoiswho/info/40892,39
Атабеков Иосиф Григорьевич,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1485.ln-ru,Григорьевич,m,108,Отделение биологических наук РАН,http://www.expertcorps.ru/science/whoiswho/info/40892,39
Афанасенко Ольга Сильвестровна,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-63025.ln-ru,Сильвестровна,f,109,NA,NA,NA
Афанасьев Виктор Григорьевич,1981,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49590.ln-ru,Григорьевич,m,110,NA,NA,NA
Афтанас Любомир Иванович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62586.ln-ru,Иванович,m,111,NA,http://www.expertcorps.ru/science/whoiswho/info/59389,21
Ашрафян Левон Андреевич,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-63162.ln-ru,Андреевич,m,112,Отделение медицинских наук РАН,NA,NA
Бабешко Владимир Андреевич,1997,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-772.ln-ru,Андреевич,m,113,"Отделение энергетики, машиностроения, механики и процессов управления РАН",http://www.expertcorps.ru/science/whoiswho/info/49102,14
Багаев Сергей Николаевич,1994,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-289.ln-ru,Николаевич,m,114,президиум,http://www.expertcorps.ru/science/whoiswho/info/40320,30
Багдасарьян Христофор Степанович,1981,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1169.ln-ru,Степанович,m,115,NA,NA,NA
Багненко Сергей Федорович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62620.ln-ru,Федорович,m,116,NA,NA,NA
Баев Александр Александрович,1970,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49602.ln-ru,Александрович,m,117,NA,NA,NA
Базаров Борис Ванданович,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-3052.ln-ru,Ванданович,m,118,Отделение историко-филологических наук РАН,NA,NA
Баиндурашвили Алексей Георгиевич,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-63164.ln-ru,Георгиевич,m,119,Отделение медицинских наук РАН,NA,NA
Байер Готлиб или Теофил Зигфрид,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49607.ln-ru,или,m,120,NA,NA,NA
Байков Александр Александрович,1932,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49451.ln-ru,Александрович,m,121,NA,NA,NA
Бакеев Николай Филиппович,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1170.ln-ru,Филиппович,m,122,NA,http://www.expertcorps.ru/science/whoiswho/info/46616,25
Бакланов Петр Яковлевич,2003,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2115.ln-ru,Яковлевич,m,123,Отделение наук о Земле РАН,NA,NA
Баклунд Оскар Андреевич (Иоган Оскар),1883,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49456.ln-ru,Андреевич,m,124,NA,NA,NA
Бакулев Александр Николаевич,1958,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49458.ln-ru,Николаевич,m,125,NA,NA,NA
Бакунин Павел Петрович,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49459.ln-ru,Петрович,m,126,NA,NA,NA
Балакирев Николай Александрович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62817.ln-ru,Александрович,m,127,NA,NA,NA
Баландин Алексей Александрович,1946,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49460.ln-ru,Александрович,m,128,NA,NA,NA
Балашов Николай Иванович,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2576.ln-ru,Иванович,m,129,NA,NA,NA
Балдин Александр Михайлович,1981,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-582.ln-ru,Михайлович,m,130,NA,NA,NA
Балега Юрий Юрьевич,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-341.ln-ru,Юрьевич,m,131,президиум,http://www.expertcorps.ru/science/whoiswho/info/40682,28
Банных Олег Александрович,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1358.ln-ru,Александрович,m,132,Отделение химии и наук о материалах РАН,NA,NA
Барабошкин Алексей Николаевич,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49464.ln-ru,Николаевич,m,133,NA,NA,NA
Баранников Алексей Петрович,1939,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49466.ln-ru,Петрович,m,134,NA,NA,NA
Баранов Александр Александрович,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62050.ln-ru,Александрович,m,135,NA,NA,NA
Баранов Виктор Михайлович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-59510.ln-ru,Михайлович,m,136,NA,NA,NA
Барановский Владимир Георгиевич,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2513.ln-ru,Георгиевич,m,137,NA,NA,NA
Барбараш Леонид Семенович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62621.ln-ru,Семенович,m,138,Отделение медицинских наук РАН,NA,NA
Бардин Иван Павлович,1932,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49472.ln-ru,Павлович,m,139,NA,NA,NA
Барков Лев Митрофанович,1984,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-594.ln-ru,Митрофанович,m,140,NA,NA,NA
Бармин Владимир Павлович,1966,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49475.ln-ru,Павлович,m,141,NA,NA,NA
Барсуков Валерий Леонидович,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49478.ln-ru,Леонидович,m,142,NA,NA,NA
Бартольд Василий Владимирович,1913,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49484.ln-ru,Владимирович,m,143,NA,NA,NA
Басов Николай Геннадиевич,1966,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-58.ln-ru,Геннадиевич,m,144,NA,NA,NA
Баталова Галина Аркадьевна,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-63029.ln-ru,Аркадьевна,f,145,NA,NA,NA
Баутин Владимир Моисеевич,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62818.ln-ru,Моисеевич,m,146,NA,NA,NA
Бах Алексей Николаевич,1929,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49493.ln-ru,Николаевич,m,147,NA,NA,NA
Бахвалов Николай Сергеевич,1991,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-188.ln-ru,Сергеевич,m,148,NA,NA,NA
Безобразов Владимир Павлович,1867,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49497.ln-ru,Павлович,m,149,NA,NA,NA
Бейльштейн Федор Федорович (Фридрих Конрад),1886,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49504.ln-ru,Федорович,m,150,NA,NA,NA
Бекенштейн Иоганн Симон,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49511.ln-ru,Симон,m,151,NA,NA,NA
Бекетов Николай Николаевич,1886,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49513.ln-ru,Николаевич,m,152,NA,NA,NA
Беленков Юрий Никитич,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49233.ln-ru,Никитич,m,153,Отделение физиологических наук РАН,http://www.expertcorps.ru/science/whoiswho/info/46627,25
Белецкая Ирина Петровна,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1171.ln-ru,Петровна,f,154,Отделение химии и наук о материалах РАН,http://www.expertcorps.ru/science/whoiswho/info/40219,58
Белецкий Александр Иванович,1958,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49517.ln-ru,Иванович,m,155,NA,NA,NA
Белов Александр Федорович,1972,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49520.ln-ru,Федорович,m,156,NA,NA,NA
Белов Николай Васильевич,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49521.ln-ru,Васильевич,m,157,NA,NA,NA
Белов Юрий Владимирович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62622.ln-ru,Владимирович,m,158,NA,NA,NA
Белодед Иван Константинович,1972,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49522.ln-ru,Константинович,m,159,NA,NA,NA
Белозерский Андрей Николаевич,1962,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49523.ln-ru,Николаевич,m,160,NA,NA,NA
Белопольский Аристарх Аполлонович,1903,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49526.ln-ru,Аполлонович,m,161,NA,NA,NA
Белоцерковский Олег Михайлович,1979,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-971.ln-ru,Михайлович,m,162,NA,NA,NA
Беляев Дмитрий Константинович,1972,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49532.ln-ru,Константинович,m,163,NA,NA,NA
Беляев Спартак Тимофеевич,1968,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-579.ln-ru,Тимофеевич,m,164,NA,NA,NA
