text,link,type,time,file_name,id
"Приказ Минобрнауки России от 17 апреля 2018 г. № 417/нк «О выдаче дипломов кандидата наук»(биологические, ветеринария, сельско-хозяйственны)",http://vak.ed.gov.ru/documents/10179/0/417%D0%B0%D0%BD%D0%BA.pdf/6eb84ffb-33fb-4e6f-9438-7851bf3701a3,кандидат,17 апреля 2018,417анк.pdf,133
"Приказ Минобрнауки России от 17 апреля 2018 г. № 416/нк «О выдаче дипломов кандидата наук»(исторические, юридические, экономические)",http://vak.ed.gov.ru/documents/10179/0/416%D0%B0%D0%BD%D0%BA.pdf/76aa7e3a-772c-4ad2-8b9e-7d44d42f0443,кандидат,17 апреля 2018,416анк.pdf,134
"Приказ Минобрнауки России от 17 апреля 2018 г. № 415/нк «О выдаче дипломов доктора наук»(технические, химические)",http://vak.ed.gov.ru/documents/10179/0/415%D0%B0%D0%BD%D0%BA.pdf/1b5bea37-8b3d-4baa-9a18-251b6b083235,доктор,17 апреля 2018,415анк.pdf,135
"Приказ Минобрнауки России от 17 апреля 2018 г. № 414/нк «О выдаче дипломов кандидата наук»(технические, химические)",http://vak.ed.gov.ru/documents/10179/0/414%D0%B0%D0%BD%D0%BA.pdf/27d0096e-7421-4b3c-8f85-dff60461cb82,кандидат,17 апреля 2018,414анк.pdf,136
Приказ Минобрнауки России от 11 апреля 2018 г. № 379/нк «О выдаче дипломов доктора наук»(технические),http://vak.ed.gov.ru/documents/10179/0/379%D0%BD%D0%BA.pdf/9b21d4db-6b7e-4024-a939-b158d7161325,доктор,11 апреля 2018,379нк.pdf,137
"Приказ Минобрнауки России от 11 апреля 2018 г. № 380/нк «О выдаче дипломов доктора наук»(культурологии, социологические, филологические, философские, экономические)",http://vak.ed.gov.ru/documents/10179/0/380%D0%BD%D0%BA.pdf/164c1c63-3f86-457a-866d-4ce09cfd30e7,доктор,11 апреля 2018,380нк.pdf,138
Приказ Минобрнауки России от 11 апреля 2018 г. № 381/нк «О выдаче дипломов кандидата наук»(медицинские),http://vak.ed.gov.ru/documents/10179/0/381%D0%BD%D0%BA.pdf/18398121-b01c-4479-b91e-4f7d90e79d4d,кандидат,11 апреля 2018,381нк.pdf,139
Приказ о выдаче диплома доктора наук от 06 марта 2019 г. №170/нк; (геол-мин.);,http://vak.ed.gov.ru/documents/10179/0/170_%D0%BD%D0%BA/8e5d768c-4f0d-427f-92b5-461f61258783,доктор,06 марта 2019,170_нк,14
"Приказ Минобрнауки России от 11 апреля 2018 г. № 382/нк «О выдаче дипломов доктора наук»(технические, географические)",http://vak.ed.gov.ru/documents/10179/0/382%D0%BD%D0%BA.pdf/95254c72-0036-45dc-96d5-7c93e13ea3dd,доктор,11 апреля 2018,382нк.pdf,140
"Приказ Минобрнауки России от 11 апреля 2018 г. № 383/нк «О выдаче дипломов кандидата наук»(технические, физико-математические_",http://vak.ed.gov.ru/documents/10179/0/383%D0%BD%D0%BA.pdf/fd277dba-6e92-4c4a-a9c7-0fea9cf2140b,кандидат,11 апреля 2018,383нк.pdf,141
