director,url,institute,director2,director3
"Директор

Алтунина Любовь Константиновна, д.х.н
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%BD%D0%B5%D1%84%D1%82%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт химии нефти СО РАН,"Алтунина Любовь Константиновна, д.х.н",Алтунина Любовь Константиновна
"Директор

академик РАН В. И. Бухтияров
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0,Объединённый институт катализа СО РАН,академик РАН В. И. Бухтияров,
"Директор

Константин Львович Иванов[1]
",https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%82%D0%BE%D0%BC%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D1%86%D0%B5%D0%BD%D1%82%D1%80_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Международный томографический центр СО РАН,Константин Львович Иванов,Константин Львович Иванов
"Директор

Завьялов, Петр Сергеевич[1]
",https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D1%80%D0%B8%D0%B1%D0%BE%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Конструкторско-технологический институт научного приборостроения СО РАН,"Завьялов, Петр Сергеевич","Завьялов, Петр Сергеевич"
"Директор

Голушко, Сергей Кузьмич[1]
",https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Конструкторско-технологический институт вычислительной техники СО РАН,"Голушко, Сергей Кузьмич","Голушко, Сергей Кузьмич"
"Директор

Павел Логачёв
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8F%D0%B4%D0%B5%D1%80%D0%BD%D0%BE%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%93._%D0%98._%D0%91%D1%83%D0%B4%D0%BA%D0%B5%D1%80%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт ядерной физики им. Г. И. Будкера СО РАН,Павел Логачёв,
"Директор

чл.-корр. РАНВ.А. Крюков
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B8_%D0%B8_%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8_%D0%BF%D1%80%D0%BE%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт экономики и организации промышленного производства СО РАН,чл.-корр. РАНВ.А. Крюков,
"Директор

член.-корр. РАН Кочетов А.В.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%86%D0%B8%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D0%B3%D0%B5%D0%BD%D0%B5%D1%82%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт цитологии и генетики СО РАН,Кочетов А.В.,
"Директор

Александр Петрович Немудрый [1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%BE%D0%B3%D0%BE_%D1%82%D0%B5%D0%BB%D0%B0_%D0%B8_%D0%BC%D0%B5%D1%85%D0%B0%D0%BD%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт химии твердого тела и механохимии СО РАН,Александр Петрович Немудрый ,Александр Петрович Немудрый
"Директор

Виталий Валентинович Целищев
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D0%B8%D0%B8_%D0%B8_%D0%BF%D1%80%D0%B0%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт философии и права СО РАН,Виталий Валентинович Целищев,Виталий Валентинович Целищев
"Директор

И. В. Силантьев [1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт филологии СО РАН,И. В. Силантьев ,И. В. Силантьев
"Директор

А. В. Латышев[1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%BF%D0%BE%D0%BB%D1%83%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2_%D0%B8%D0%BC._%D0%90._%D0%92._%D0%A0%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт физики полупроводников им. А. В. Ржанова СО РАН,А. В. Латышев,А. В. Латышев
"Директор

Д. М. Маркович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%82%D0%B5%D0%BF%D0%BB%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт теплофизики им. С. С. Кутателадзе СО РАН,Д. М. Маркович,Д. М. Маркович
"Директор

Шиплюк, Александр Николаевич
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%82%D0%B5%D0%BE%D1%80%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8_%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%BE%D0%B9_%D0%BC%D0%B5%D1%85%D0%B0%D0%BD%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%A1._%D0%90._%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт теоретической и прикладной механики им. С. А. Христиановича СО РАН,"Шиплюк, Александр Николаевич","Шиплюк, Александр Николаевич"
"Директор

проф., д.б.н. Глупов, Виктор Вячеславович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%B8_%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт систематики и экологии животных СО РАН,"проф., д.б.н. Глупов, Виктор Вячеславович","Глупов, Виктор Вячеславович"
"Директор

Сысо Александр Иванович, д.б.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D0%BE%D1%87%D0%B2%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B8_%D0%B0%D0%B3%D1%80%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт почвоведения и агрохимии СО РАН,"Сысо Александр Иванович, д.б.н.",Сысо Александр Иванович
"Директор

Эпов, Михаил Иванович, академик РАН, проф., д.т.н.

Ельцов Игорь Николаевич, проф., д.т.н. (апрель 2017 - н.в.)
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BD%D0%B5%D1%84%D1%82%D0%B5%D0%B3%D0%B0%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D0%B3%D0%B5%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%90._%D0%90._%D0%A2%D1%80%D0%BE%D1%84%D0%B8%D0%BC%D1%83%D0%BA%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт нефтегазовой геологии и геофизики им. А. А. Трофимука СО РАН,"Эпов, Михаил Иванович, академик РАН, проф., д.т.н.Ельцов Игорь Николаевич, проф., д.т.н. (апрель 2017 - н.в.)","Эпов, Михаил Иванович"
"Директор

Владимир Петрович Федин, д.х.н., проф., чл.-корр. РАН
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BD%D0%B5%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC._%D0%90._%D0%92._%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт неорганической химии им. А. В. Николаева СО РАН,"Владимир Петрович Федин, д.х.н., проф., чл.-корр. РАН",Владимир Петрович Федин
"Директор

С. С. Гончаров
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%A1._%D0%9B._%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт математики им. С. Л. Соболева СО РАН,С. С. Гончаров,С. С. Гончаров
"Директор

чл.-корр. РАН А. В. Тайченачев
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BB%D0%B0%D0%B7%D0%B5%D1%80%D0%BD%D0%BE%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт лазерной физики СО РАН,А. В. Тайченачев,
"Директор

академик РАН В. И. Бухтияров
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0_%D0%B8%D0%BC._%D0%93._%D0%9A._%D0%91%D0%BE%D1%80%D0%B5%D1%81%D0%BA%D0%BE%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт катализа им. Г. К. Борескова СО РАН,академик РАН В. И. Бухтияров,
"Директор

В.М.Рынков (вр. и.о.)
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт истории СО РАН,В.М.Рынков (вр. и.о.),
"Директор

А. С. Кондратенко
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт горного дела СО РАН,А. С. Кондратенко,А. С. Кондратенко
"Директор

С. В. Головин
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%B8%D0%B4%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0%D0%BC%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%9C._%D0%90._%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт гидродинамики им. М. А. Лаврентьева СО РАН,С. В. Головин,С. В. Головин
"Директор

Н. Н. Крук
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8%D0%BC._%D0%92._%D0%A1._%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт геологии и минералогии им. В. С. Соболева СО РАН,Н. Н. Крук,Н. Н. Крук
"Директор

Шокин, Юрий Иванович, академик
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85_%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B9_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт вычислительных технологий СО РАН,"Шокин, Юрий Иванович, академик","Шокин, Юрий Иванович"
"Директор

член-корреспондент РАН Кабанихин, Сергей Игоревич
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%B8_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D0%B3%D0%B5%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт вычислительной математики и математической геофизики СО РАН,"член-корреспондент РАН Кабанихин, Сергей Игоревич","Кабанихин, Сергей Игоревич"
"Директор

член-корр. РАН М. В. Шуньков
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B0%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D1%8D%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт археологии и этнографии СО РАН,член-корр. РАН М. В. Шуньков,Н М. В.
"Директор

чл.-корр. РАН Бабин С.А.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%B8_%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт автоматики и электрометрии СО РАН,Бабин С.А.,
"Директор

Гуськов Андрей Евгеньевич
",https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D0%B0%D1%8F_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Государственная публичная научно-техническая библиотека СО РАН,Гуськов Андрей Евгеньевич,Гуськов Андрей Евгеньевич
"Директор

Балаев Дмитрий Александрович, д.ф.-м.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%9B._%D0%92._%D0%9A%D0%B8%D1%80%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт физики им. Л. В. Киренского СО РАН,"Балаев Дмитрий Александрович, д.ф.-м.н.",Балаев Дмитрий Александрович
"Директор

А. А. Онучин, д.б.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BB%D0%B5%D1%81%D0%B0_%D0%B8%D0%BC._%D0%92._%D0%9D._%D0%A1%D1%83%D0%BA%D0%B0%D1%87%D0%B5%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт леса им. В. Н. Сукачева СО РАН,"А. А. Онучин, д.б.н.",А. А. Онучин
"Директор

Шайдуров, Владимир Викторович, член-корреспондент РАН, проф., д.ф.-м.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт вычислительного моделирования СО РАН,"Шайдуров, Владимир Викторович, член-корреспондент РАН, проф., д.ф.-м.н.","Шайдуров, Владимир Викторович"
"Директор

Дегерменджи, Андрей Георгиевич, академик РАН
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B1%D0%B8%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт биофизики СО РАН,"Дегерменджи, Андрей Георгиевич, академик РАН","Дегерменджи, Андрей Георгиевич"
"Директор

Воронин Виктор Иванович, д.б.н.
",https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D0%B1%D0%B8%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D1%80%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D0%B9_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Сибирский институт физиологии и биохимии растений СО РАН,"Воронин Виктор Иванович, д.б.н.",Воронин Виктор Иванович
"Директор

Федотов, Андрей Петрович, доктор геолого-минералогических наук
",https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BC%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Лимнологический институт СО РАН,"Федотов, Андрей Петрович, доктор геолого-минералогических наук","Федотов, Андрей Петрович"
"Директор

А. В. Медведев
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE-%D0%B7%D0%B5%D0%BC%D0%BD%D0%BE%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт солнечно-земной физики СО РАН,А. В. Медведев,А. В. Медведев
"Директор

Д. П. Гладкочуб
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B7%D0%B5%D0%BC%D0%BD%D0%BE%D0%B9_%D0%BA%D0%BE%D1%80%D1%8B_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт земной коры СО РАН,Д. П. Гладкочуб,Д. П. Гладкочуб
"Директор

Убугунов Леонид Лазаревич, профессор, доктор биологических наук[1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BE%D0%B1%D1%89%D0%B5%D0%B9_%D0%B8_%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт общей и экспериментальной биологии СО РАН,"Убугунов Леонид Лазаревич, профессор, доктор биологических наук",Убугунов Леонид Лазаревич
"Директор

Цыганков А. А.[2]
",https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Геологический институт СО РАН,Цыганков А. А.[2],Цыганков А. А.
"Директор

А. С. Кондратенко
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт горного дела им. Н. А. Чинакала СО РАН,А. С. Кондратенко,А. С. Кондратенко
"Директор

Сигачёв Николай Петрович, д.т.н., проф.
","https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D1%85_%D1%80%D0%B5%D1%81%D1%83%D1%80%D1%81%D0%BE%D0%B2,_%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D0%BA%D1%80%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D","Институт природных ресурсов, экологии и криологии СО РАН","Сигачёв Николай Петрович, д.т.н., проф.",
"Директор

Сысолятин Сергей Викторович, д.х.н., профессор
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D1%85%D0%B8%D0%BC%D0%B8%D0%BA%D0%BE-%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B9_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт проблем химико-энергетических технологий СО РАН,"Сысолятин Сергей Викторович, д.х.н., профессор",Сысолятин Сергей Викторович
"Директор

д.э.н. О. М. Прокапало.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9_%D0%94%D0%92%D0%9E_%D0%A0%D0%90%D0%9D,Институт экономических исследований ДВО РАН,д.э.н. О. М. Прокапало.,О. М. Прокапало.
