name,department,sex
Барбараш Леонид Семенович,Отделение медицинских наук РАН,m
Барбараш Ольга Леонидовна,Отделение медицинских наук РАН,f
Баринов Сергей Миронович,Отделение химии и наук о материалах РАН,m
Бармин Игорь Владимирович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Барсболд Ринченгийн (Монголия),Отделение биологических наук РАН,m
Барсболд Ринченгийн (Монголия),Отделение сельскохозяйственных наук РАН,m
Батенин Вячеслав Михайлович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Бауэрсок Глен,Отделение историко-филологических наук РАН,m
Бахмет Ольга Николаевна,Отделение биологических наук РАН,f
Бахмет Ольга Николаевна,Отделение сельскохозяйственных наук РАН,f
Бахрамов Саиджалал Махмудович,Отделение медицинских наук РАН,m
Бахтизин Альберт Рауфович,Отделение общественных наук РАН,m
Беа Фернандо,Отделение наук о Земле РАН,m
Бейлин Бернард,Отделение историко-филологических наук РАН,m
Беккиев Азрет Юсупович,Отделение наук о Земле РАН,m
Беклемишев Лев Дмитриевич,Отделение математических наук РАН,m
Белавин Александр Абрамович,Отделение физических наук РАН,m
Беленков Юрий Никитич,Отделение физиологических наук РАН,m
Белецкая Ирина Петровна,Отделение химии и наук о материалах РАН,f
Бельских Андрей Николаевич,Отделение физиологических наук РАН,m
Беляев Евгений Николаевич,Отделение медицинских наук РАН,m
Беляев Леонид Андреевич,Отделение историко-филологических наук РАН,m
Беннет Питер,Отделение физиологических наук РАН,m
Бердышев Виталий Иванович,Отделение математических наук РАН,m
Бережко Евгений Григорьевич,Отделение физических наук РАН,m
Березович Елена Львовна,Отделение историко-филологических наук РАН,f
Берлин Александр Александрович,Отделение химии и наук о материалах РАН,m
Бертольд Петер,Отделение биологических наук РАН,m
Бертольд Петер,Отделение сельскохозяйственных наук РАН,m
Беседнова Наталия Николаевна,Отделение медицинских наук РАН,f
Бесов Олег      Владимирович,Отделение математических наук РАН,m
Бетелин Владимир Борисович,Отделение нанотехнологий и информационных технологий РАН,m
Биллингтон Джеймс Хедли,Отделение историко-филологических наук РАН,m
Бимберг Дитер,Отделение нанотехнологий и информационных технологий РАН,m
Блахос Ярослав,Отделение медицинских наук РАН,m
Блобел Гюнтер,Отделение биологических наук РАН,m
Блобел Гюнтер,Отделение сельскохозяйственных наук РАН,m
Блошар Яром,Отделение медицинских наук РАН,m
Бобровницкий Игорь Петрович,Отделение медицинских наук РАН,m
Богатиков Олег Алексеевич,Отделение наук о Земле РАН,m
Богатов Виктор Всеволодович,Отделение биологических наук РАН,m
Богатов Виктор Всеволодович,Отделение сельскохозяйственных наук РАН,m
Богданов Алексей Алексеевич,Отделение биологических наук РАН,m
Богданов Алексей Алексеевич,Отделение сельскохозяйственных наук РАН,m
Богданов Владимир Дмитриевич,Отделение биологических наук РАН,m
Богданов Владимир Дмитриевич,Отделение сельскохозяйственных наук РАН,m
Боголепов Николай Николаевич,Отделение медицинских наук РАН,m
Боголепова Ирина Николаевна,Отделение медицинских наук РАН,f
Боголюбов Николай Николаевич,Отделение математических наук РАН,m
Богомильский Михаил Рафаилович,Отделение медицинских наук РАН,m
Богомолов Борис Павлович,Отделение медицинских наук РАН,m
Богоявленский Василий Игоревич,Отделение наук о Земле РАН,m
Бойко Андрей Владиславович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Бойнович Людмила Борисовна,Отделение химии и наук о материалах РАН,f
Бокерия Леонид Антонович,Отделение физиологических наук РАН,m
Бокерия Ольга Леонидовна,Отделение физиологических наук РАН,f
Болдырев Владимир Вячеславович,Отделение химии и наук о материалах РАН,m
Болотин Сергей Владимирович,Отделение математических наук РАН,m
Болотник Николай Николаевич,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Большаков Владимир Николаевич,Отделение биологических наук РАН,m
Большаков Владимир Николаевич,Отделение сельскохозяйственных наук РАН,m
Бонатти Энрико,Отделение наук о Земле РАН,m
Бондаренко Дмитрий Михайлович,Отделение историко-филологических наук РАН,m
Бондарь Александр Евгеньевич,Отделение физических наук РАН,m
